,quarter,DAU,MAU
0,Q1'17,0.0,0.0
1,Q2'17,0.03125000000000003,0.036082474226804044
2,Q3'17,0.07031250000000006,0.06701030927835046
3,Q4'17,0.0937499999999999,0.09793814432989688
4,Q1'18,0.13281249999999994,0.13402061855670117
5,Q2'18,0.14843749999999994,0.14948453608247425
6,Q3'18,0.16406249999999997,0.1701030927835052
7,Q4'18,0.1875,0.19587628865979376
8,Q1'19,0.21875000000000003,0.22680412371134018
9,Q2'19,0.24218750000000003,0.2422680412371135
10,Q3'19,0.26562500000000006,0.26288659793814445
11,Q4'19,0.2968749999999999,0.288659793814433
